2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99
2/16/99, 1/99/1, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 1/ 1/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 1/ 1/ 2, 0      , 1/99/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 1/ 1/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 1/ 1/ 2, 0      , 1/99/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 1/ 1/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 1/ 1/ 2, 0      , 1/99/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 1/ 1/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 1/ 1/ 2, 0      , 1/99/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 1/ 1/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 1/ 1/ 2, 0      , 1/99/ 2, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 1/ 1/ 2, 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 2/16/99, 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      , 0      
